content,link
Coronavirus can make babies seriously ill,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
The COVID-19 virus can live on surfaces for days,https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
People who don’t have symptoms can spread the virus,https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
Reinfection may be possible,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
Vaccination are very effective in preventing severe COVID-19,https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
Anyone can get COVID-19,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
The COVID-19 vaccines currently in use have all been through a rigorous testing and approval procedure to ensure they are safe and effective,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
drinking alcohol can weaken your immune system. It’s recommended that adults limit their alcohol intake to stay healthy,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
"some symptoms of covid 19 are fever, cough, chills, loss of taste, aches, congestion",https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
The virus is thought to spread mainly through respiratory droplets produced when an infected person coughs or sneezes,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
Coronaviruses are a large family of viruses that may cause illness in animals or humans,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
"if you are not fully vaccinated and aged 2 or older, you should wear a mask in indoor public places",https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
"People who have a condition or are taking medications that weaken their immune system may not be fully protected even if they are fully vaccinated. They should continue to take all precautions recommended for unvaccinated people, including wearing a well-fitted mask, until advised otherwise by their healthcare provider",https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
Avoid close contact with people who are sick,https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
"Being in crowds like in restaurants, bars, fitness centers, or movie theaters puts you at higher risk for COVID-19.",https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
Avoid indoor spaces that do not offer fresh air from the outdoors as much as possible.,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
"Wash your hands often with soap and water for at least 20 seconds especially after you have been in a public place, or after blowing your nose, coughing, or sneezing",https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
use a hand sanitizer that contains at least 60% alcohol. Cover all surfaces of your hands and rub them together until they feel dry,https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
"In general, you do not need to wear a mask in outdoor settings",https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
Masks are designed to contain your respiratory droplets and particles.,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
The federal government is providing the vaccine free of charge to people living in the United States.,https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
"None of the currently available COVID-19 vaccines contain the live virus that causes COVID-19, so you cannot get the virus or the disease it causes from the vaccine",https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
Rigorous clinical trials have found that the vaccines currently available in the United States are more than 90% effective at preventing COVID-19 and are important tools to stop the pandemic,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
"Even if you’re vaccinated, it is possible that you might still get COVID-19 and pass it on to those who are unvaccinated",https://www.healthgrades.com/right-care/coronavirus/11-surprising-facts-about-coronavirus
"FEMA is not seizing or taking personal protective equipment (PPE) from state or local governments, hospitals or anyone lawfully engaged in acquiring or distributing PPE",https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
FEMA is not diverting COVID-19 funds towards climate change,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
covid 19 was not created by china as a biological weapon,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
covid 19 is a serious and sometimes deadly disease affecting millions,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
covid 19 death counts are accurate,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
the corona virus vaccine is not a biological weapon,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
The Trump administration fired the U.S. pandemic response team in 2018 to cut costs,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
"U.S. President Donald Trump referred to the new coronavirus as a """"hoax.",https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
US Navy ship headed to Los Angeles for coronavirus relief,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html
Rob Reiner took to Twitter to accuse President Donald Trump of causing people in New York to die amid the ongoing coronavirus pandemic,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
The coronavirus vaccine was not previously used on cattle,https://www.ghspjournal.org/content/9/2/355/tab-figures-tables
The CDC can't detain people who are sick or have a fever indefinitely,https://www.hopkinsmedicine.org/coronavirus/articles/coronavirus-myths-rumors-misinformation.html